ticker,bench,events_total,events_pre_total,events_intra_total,events_post_total,blue_any_rate,blue_hard_rate,blue_soft_rate,ark_any_rate,ark_hard_rate,ark_soft_rate,print_any_rate,print_hard_rate,print_soft_rate,open_any_rate,open_hard_rate,open_soft_rate,global_any_rate,global_hard_rate,global_soft_rate,intra_any_rate,intra_hard_rate,intra_soft_rate,post_any_rate,post_hard_rate,post_soft_rate,corr,beta,sigma
HURN,SPY,14,1,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.6,0.16,0.5
HUSA,XLE,64,37,27,0,0.0,0.0,0.0,0.21621621621621623,0.10810810810810811,0.10810810810810811,0.35135135135135137,0.1891891891891892,0.16216216216216217,0.43243243243243246,0.2702702702702703,0.16216216216216217,0.5945945945945946,0.40540540540540543,0.1891891891891892,0.0,0.0,0.0,,,,0.64,0.89,2.05
HUT,SPY,128,65,63,0,0.4307692307692308,0.18461538461538463,0.24615384615384617,0.5846153846153846,0.4461538461538462,0.13846153846153847,0.27692307692307694,0.046153846153846156,0.23076923076923078,0.47692307692307695,0.09230769230769231,0.38461538461538464,0.7692307692307693,0.47692307692307695,0.2923076923076923,0.0,0.0,0.0,,,,0.85,5.67,3.45
HWC,KRE,42,9,33,0,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.7777777777777778,0.5555555555555556,0.2222222222222222,0.7777777777777778,0.3333333333333333,0.4444444444444444,0.0,0.0,0.0,,,,0.95,0.98,0.62
HWKN,IWM,21,2,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.83,0.9,0.62
HWM,SPY,111,57,54,0,0.24561403508771928,0.08771929824561403,0.15789473684210525,0.5614035087719298,0.3157894736842105,0.24561403508771928,0.3333333333333333,0.07017543859649122,0.2631578947368421,0.631578947368421,0.3157894736842105,0.3157894736842105,0.8070175438596491,0.42105263157894735,0.38596491228070173,0.0,0.0,0.0,,,,0.93,1.13,0.63
HXL,SPY,55,19,36,0,0.0,0.0,0.0,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.2631578947368421,0.05263157894736842,0.21052631578947367,0.5789473684210527,0.2631578947368421,0.3157894736842105,0.631578947368421,0.3157894736842105,0.3157894736842105,0.0,0.0,0.0,,,,0.81,0.78,0.62
HY,IWM,23,8,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.125,0.375,0.375,0.25,0.125,0.5,0.125,0.375,0.0,0.0,0.0,,,,0.91,0.96,0.71
HYDR,QQQ,52,33,19,0,0.030303030303030304,0.0,0.030303030303030304,0.09090909090909091,0.06060606060606061,0.030303030303030304,0.21212121212121213,0.030303030303030304,0.18181818181818182,0.24242424242424243,0.0,0.24242424242424243,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0,,,,0.92,3.48,2.76
HYG,SPY,118,62,56,0,0.0,0.0,0.0,0.16129032258064516,0.0967741935483871,0.06451612903225806,0.11290322580645161,0.04838709677419355,0.06451612903225806,0.24193548387096775,0.14516129032258066,0.0967741935483871,0.3064516129032258,0.1935483870967742,0.11290322580645161,0.0,0.0,0.0,,,,0.9,0.22,0.12
