ticker,open_glob_total,open_glob_up_rate,open_glob_down_rate,open_glob_mean_move,open_glob_median_move,open_5m_total,open_5m_up_rate,open_5m_down_rate,open_5m_mean_move,open_5m_median_move,open_10m_total,open_10m_up_rate,open_10m_down_rate,open_10m_mean_move,open_10m_median_move,open_15m_total,open_15m_up_rate,open_15m_down_rate,open_15m_mean_move,open_15m_median_move,open_20m_total,open_20m_up_rate,open_20m_down_rate,open_20m_mean_move,open_20m_median_move,open_30m_total,open_30m_up_rate,open_30m_down_rate,open_30m_mean_move,open_30m_median_move
OSCR,61.0,0.45901639344262296,0.5409836065573771,0.3750936064569521,-0.3751323440333576,54.0,0.5555555555555556,0.4444444444444444,0.34525084209311907,0.6080336742851133,56.0,0.375,0.625,0.013432519850954847,-0.7630446140407143,61.0,0.4426229508196721,0.5573770491803278,0.25585649293752133,-0.6253300463458844,55.0,0.4909090909090909,0.509090909090909,0.22776650428645176,-0.426622778119945,61.0,0.45901639344262296,0.5409836065573771,0.3750936064569521,-0.3751323440333576
OSCX,19.0,0.631578947368421,0.3684210526315789,1.1334761591747438,1.2200855720215564,22.0,0.6363636363636364,0.36363636363636365,0.7110056789113571,1.6464991516282224,24.0,0.4166666666666667,0.5833333333333334,0.2836649512907426,-0.49352374688509393,23.0,0.5652173913043478,0.43478260869565216,1.4513243837682013,1.7040407224934162,24.0,0.4583333333333333,0.5416666666666666,0.49280179488432657,-0.359649239471832,19.0,0.631578947368421,0.3684210526315789,1.1334761591747438,1.2200855720215564
OSIS,21.0,0.5714285714285714,0.42857142857142855,0.1929398903371568,0.538730791205766,30.0,0.5333333333333333,0.4666666666666667,0.3611346305820777,0.4047826559063106,28.0,0.6071428571428571,0.39285714285714285,0.44931620246725407,0.4294471974395364,32.0,0.53125,0.46875,0.24815659836070036,0.44528248965926,32.0,0.53125,0.46875,0.31491306232281535,0.47962406973228733,21.0,0.5714285714285714,0.42857142857142855,0.1929398903371568,0.538730791205766
OSK,41.0,0.5609756097560976,0.43902439024390244,0.07932377040741076,0.33310900913539054,31.0,0.6129032258064516,0.3870967741935484,0.08253512602422518,0.37036298040242777,36.0,0.5,0.5,-0.0625318443905614,0.03207663876781397,41.0,0.5121951219512195,0.4878048780487805,-0.024430502921964723,0.3049908124478584,37.0,0.5135135135135135,0.4864864864864865,0.1186305286968464,0.31451212337565426,41.0,0.5609756097560976,0.43902439024390244,0.07932377040741076,0.33310900913539054
OSPN,34.0,0.5882352941176471,0.4117647058823529,-0.20012792636843257,0.45795580203752406,21.0,0.47619047619047616,0.5238095238095238,-0.8412542659606898,-0.304687614414767,38.0,0.5,0.5,-0.2930197619898799,0.007806015388145404,39.0,0.5128205128205128,0.48717948717948717,-0.2971143088847235,0.3357907045513864,40.0,0.575,0.425,-0.11078607587696383,0.42384117229394835,34.0,0.5882352941176471,0.4117647058823529,-0.20012792636843257,0.45795580203752406
OSW,37.0,0.5405405405405406,0.4594594594594595,0.11215697701821846,0.36463045468877464,36.0,0.5,0.5,0.0227184227391048,-0.006017301939614805,39.0,0.48717948717948717,0.5128205128205128,-0.07254771157033457,-0.3800540368545935,42.0,0.5,0.5,-0.0024946924605119005,-0.013717931930640193,40.0,0.425,0.575,-0.1407094072029877,-0.4912310018491406,37.0,0.5405405405405406,0.4594594594594595,0.11215697701821846,0.36463045468877464
OTEX,41.0,0.5853658536585366,0.4146341463414634,0.2604905941667025,0.4654101981040659,40.0,0.6,0.4,0.34088162026164265,0.37712346208755854,41.0,0.5853658536585366,0.4146341463414634,0.24933873852476182,0.4120217926502079,41.0,0.6341463414634146,0.36585365853658536,0.30660081381488286,0.5097897085466929,41.0,0.6097560975609756,0.3902439024390244,0.2269104135561397,0.4518925796632489,41.0,0.5853658536585366,0.4146341463414634,0.2604905941667025,0.4654101981040659
OTF,24.0,0.4583333333333333,0.5416666666666666,-0.11178927695174545,-0.385418942292054,28.0,0.4642857142857143,0.5357142857142857,-0.11036311186972125,-0.3579279938646096,35.0,0.45714285714285713,0.5428571428571428,-0.17820892962019894,-0.3479484421228807,36.0,0.4166666666666667,0.5833333333333334,-0.18873709586483423,-0.38517550068891127,39.0,0.5128205128205128,0.48717948717948717,-0.05225787027829814,0.3344494406205767,24.0,0.4583333333333333,0.5416666666666666,-0.11178927695174545,-0.385418942292054
OTIS,49.0,0.5510204081632653,0.4489795918367347,0.05774799504284454,0.3570444282848584,26.0,0.6153846153846154,0.38461538461538464,-0.0030997082146463264,0.34535529747601323,31.0,0.6774193548387096,0.3225806451612903,0.1199768424389252,0.3874307118441944,42.0,0.5952380952380952,0.40476190476190477,0.06521628875698415,0.36083953703414107,46.0,0.6086956521739131,0.391304347826087,0.07869563123137983,0.37436917671712644,49.0,0.5510204081632653,0.4489795918367347,0.05774799504284454,0.3570444282848584
OTLY,24.0,0.75,0.25,1.134534906107556,1.3743758291937636,39.0,0.5384615384615384,0.46153846153846156,0.2130132753973932,0.6097584377790843,41.0,0.5853658536585366,0.4146341463414634,0.36749269005366736,0.7955228894770627,38.0,0.631578947368421,0.3684210526315789,0.47475280660736,0.8855720400476663,48.0,0.6875,0.3125,0.6836845891468378,0.8913657644119888,24.0,0.75,0.25,1.134534906107556,1.3743758291937636
OTTR,13.0,0.6153846153846154,0.38461538461538464,0.11209627947247336,0.5612625181430353,14.0,0.5714285714285714,0.42857142857142855,-0.3264815181883841,0.3483194844004611,23.0,0.4782608695652174,0.5217391304347826,-0.17939179172129024,-0.3361000517353885,25.0,0.4,0.6,-0.2546006993651262,-0.4040606670727809,28.0,0.5714285714285714,0.42857142857142855,0.03423241926164555,0.3324138423818068,13.0,0.6153846153846154,0.38461538461538464,0.11209627947247336,0.5612625181430353
